season;weekday;hour;electrical_power_per_million_ev_MW
winter;1;0;600
winter;1;1;500
winter;1;2;350
winter;1;3;220
winter;1;4;160
winter;1;5;100
winter;1;6;100
winter;1;7;150
winter;1;8;200
winter;1;9;270
winter;1;10;230
winter;1;11;200
winter;1;12;170
winter;1;13;195
winter;1;14;270
winter;1;15;270
winter;1;16;300
winter;1;17;420
winter;1;18;510
winter;1;19;600
winter;1;20;650
winter;1;21;800
winter;1;22;860
winter;1;23;870
winter;2;0;600
winter;2;1;500
winter;2;2;350
winter;2;3;220
winter;2;4;160
winter;2;5;100
winter;2;6;100
winter;2;7;150
winter;2;8;200
winter;2;9;270
winter;2;10;230
winter;2;11;200
winter;2;12;170
winter;2;13;195
winter;2;14;270
winter;2;15;270
winter;2;16;300
winter;2;17;420
winter;2;18;510
winter;2;19;600
winter;2;20;650
winter;2;21;800
winter;2;22;860
winter;2;23;870
winter;3;0;600
winter;3;1;500
winter;3;2;350
winter;3;3;220
winter;3;4;160
winter;3;5;100
winter;3;6;100
winter;3;7;150
winter;3;8;200
winter;3;9;270
winter;3;10;230
winter;3;11;200
winter;3;12;170
winter;3;13;195
winter;3;14;270
winter;3;15;270
winter;3;16;300
winter;3;17;420
winter;3;18;510
winter;3;19;600
winter;3;20;650
winter;3;21;800
winter;3;22;860
winter;3;23;870
winter;4;0;600
winter;4;1;500
winter;4;2;350
winter;4;3;220
winter;4;4;160
winter;4;5;100
winter;4;6;100
winter;4;7;150
winter;4;8;200
winter;4;9;270
winter;4;10;230
winter;4;11;200
winter;4;12;170
winter;4;13;195
winter;4;14;270
winter;4;15;270
winter;4;16;300
winter;4;17;420
winter;4;18;510
winter;4;19;600
winter;4;20;650
winter;4;21;800
winter;4;22;860
winter;4;23;870
winter;5;0;600
winter;5;1;500
winter;5;2;350
winter;5;3;220
winter;5;4;160
winter;5;5;100
winter;5;6;100
winter;5;7;150
winter;5;8;200
winter;5;9;270
winter;5;10;230
winter;5;11;200
winter;5;12;170
winter;5;13;195
winter;5;14;270
winter;5;15;270
winter;5;16;300
winter;5;17;420
winter;5;18;510
winter;5;19;600
winter;5;20;650
winter;5;21;800
winter;5;22;860
winter;5;23;870
winter;6;0;600
winter;6;1;390
winter;6;2;300
winter;6;3;200
winter;6;4;120
winter;6;5;60
winter;6;6;50
winter;6;7;105
winter;6;8;160
winter;6;9;180
winter;6;10;150
winter;6;11;110
winter;6;12;110
winter;6;13;150
winter;6;14;180
winter;6;15;180
winter;6;16;200
winter;6;17;270
winter;6;18;330
winter;6;19;380
winter;6;20;410
winter;6;21;450
winter;6;22;540
winter;6;23;580
winter;7;0;600
winter;7;1;390
winter;7;2;300
winter;7;3;200
winter;7;4;120
winter;7;5;60
winter;7;6;50
winter;7;7;105
winter;7;8;160
winter;7;9;180
winter;7;10;150
winter;7;11;110
winter;7;12;110
winter;7;13;150
winter;7;14;180
winter;7;15;180
winter;7;16;200
winter;7;17;270
winter;7;18;330
winter;7;19;380
winter;7;20;410
winter;7;21;450
winter;7;22;540
winter;7;23;580
summer;1;0;400
summer;1;1;360
summer;1;2;240
summer;1;3;180
summer;1;4;130
summer;1;5;75
summer;1;6;90
summer;1;7;140
summer;1;8;170
summer;1;9;185
summer;1;10;170
summer;1;11;110
summer;1;12;100
summer;1;13;150
summer;1;14;185
summer;1;15;185
summer;1;16;210
summer;1;17;290
summer;1;18;350
summer;1;19;400
summer;1;20;420
summer;1;21;470
summer;1;22;540
summer;1;23;600
summer;2;0;400
summer;2;1;360
summer;2;2;240
summer;2;3;180
summer;2;4;130
summer;2;5;75
summer;2;6;90
summer;2;7;140
summer;2;8;170
summer;2;9;185
summer;2;10;170
summer;2;11;110
summer;2;12;100
summer;2;13;150
summer;2;14;185
summer;2;15;185
summer;2;16;210
summer;2;17;290
summer;2;18;350
summer;2;19;400
summer;2;20;420
summer;2;21;470
summer;2;22;540
summer;2;23;600
summer;3;0;400
summer;3;1;360
summer;3;2;240
summer;3;3;180
summer;3;4;130
summer;3;5;75
summer;3;6;90
summer;3;7;140
summer;3;8;170
summer;3;9;185
summer;3;10;170
summer;3;11;110
summer;3;12;100
summer;3;13;150
summer;3;14;185
summer;3;15;185
summer;3;16;210
summer;3;17;290
summer;3;18;350
summer;3;19;400
summer;3;20;420
summer;3;21;470
summer;3;22;540
summer;3;23;600
summer;4;0;400
summer;4;1;360
summer;4;2;240
summer;4;3;180
summer;4;4;130
summer;4;5;75
summer;4;6;90
summer;4;7;140
summer;4;8;170
summer;4;9;185
summer;4;10;170
summer;4;11;110
summer;4;12;100
summer;4;13;150
summer;4;14;185
summer;4;15;185
summer;4;16;210
summer;4;17;290
summer;4;18;350
summer;4;19;400
summer;4;20;420
summer;4;21;470
summer;4;22;540
summer;4;23;600
summer;5;0;400
summer;5;1;360
summer;5;2;240
summer;5;3;180
summer;5;4;130
summer;5;5;75
summer;5;6;90
summer;5;7;140
summer;5;8;170
summer;5;9;185
summer;5;10;170
summer;5;11;110
summer;5;12;100
summer;5;13;150
summer;5;14;185
summer;5;15;185
summer;5;16;210
summer;5;17;290
