Title,Image URL
"Siūloma bausmė R. Morkevičiaus žudikui šokiravo, bet tai gali tapti ir įkalinimu iki gyvos galvos",https://kauno.diena.lt/sites/default/files/styles/620x300/public/Vilniausdiena/Vartotoju%20zona/eglmor/akjjff_16.jpg?itok=Vzh5LjGj
Kauno rajonas kviečia į kalėdinį nuotykį,https://kauno.diena.lt/sites/default/files/styles/300x300/public/Vilniausdiena/Vartotoju%20zona/ViltePaukstyte/imgonline-com-ua-frameblurred-ilbwifdnwxb.jpg?itok=UcBXBnfW
Paviešintas DHL lėktuvo pilotų pokalbis prieš katastrofą,https://kauno.diena.lt/sites/default/files/styles/maza-miniatiura/public/Vilniausdiena/Vartotoju%20zona/b.banyte/skrydziu_centras.jpg?itok=CH8CZ-x5
Sunerimę kauniečiai pranešė: kaimynė durų neatidaro apie savaitę,https://kauno.diena.lt/sites/default/files/styles/maza-miniatiura/public/Vilniausdiena/Vartotoju%20zona/eglmor/eckd2316-enhanced-nr.jpg?itok=5pU6kkwM
Teko nugriauti dalį lėktuvo kliudyto namo: suniokoti vienos giminės būstai,https://kauno.diena.lt/sites/default/files/styles/maza-miniatiura/public/Vilniausdiena/Vartotoju%20zona/eglmor/lb20241125_28_0.jpg?itok=Ka8RXHPp
Šiurpi Nemuno pakrantės mįslė atėmė Kauno teisėsaugininkams kalbos dovaną,https://kauno.diena.lt/sites/default/files/styles/maza-miniatiura/public/Vilniausdiena/Vartotoju%20zona/eglmor/befunky-collage_3_649.jpg?itok=_5d12Gul
Iš „Žalgirio“ klubo – žinutė: arenoje visuomet stengiamės kurti pozityvią atmosferą,https://kauno.diena.lt/sites/default/files/styles/300x200/public/Vilniausdiena/Vartotoju%20zona/ErikaMickunaite/24_97.jpg?itok=6quT_nio
Linkuvos gatvėje teisės vairuoti neturintis vyras nesuvaldė automobilio ir nuvažiavo nuo kelio,https://kauno.diena.lt/sites/default/files/styles/300x200/public/Vilniausdiena/Vartotoju%20zona/valdask/ei8a5464.jpg?itok=dRpKuiU6
"Šalia aviakatastrofos vietos gyvenanti Mia: tikėkimės, jog tai – žmogiška klaida, o ne siųsta žinutė",https://kauno.diena.lt/sites/default/files/styles/300x200/public/Vilniausdiena/Vartotoju%20zona/eglmor/miau.jpg?itok=Svq4nTf3
Iš „Žalgirio“ klubo – žinutė: arenoje visuomet stengiamės kurti pozityvią atmosferą,https://kauno.diena.lt/sites/default/files/styles/620x300/public/Vilniausdiena/Vartotoju%20zona/ViltePaukstyte/img1190397.jpg?itok=uKYSy0J0
Dėl „Žalgirio“ sirgalių skanduočių pradėtas aplinkybių patikslinimas,https://kauno.diena.lt/sites/default/files/styles/300x300/public/Vilniausdiena/Vartotoju%20zona/ErikaMickunaite/40_105.jpg?itok=Jd1GSb7x
LSMU Kauno ligoninė pradeda statyti Skubios pagalbos ir reanimacijos skyrių,https://kauno.diena.lt/sites/default/files/styles/460x250/public/Vilniausdiena/Vartotoju%20zona/eglmor/vyras_1_15_0_copy.jpg?itok=U5yuC2Ak
"Vilniuje nukrito lėktuvas, ieškoma įgulos narių: ar tai – teroristinis aktas?",https://kauno.diena.lt/sites/default/files/styles/460x250/public/Vilniausdiena/Vartotoju%20zona/LinGri/boh.jpg?itok=Blu6KuKJ
