tree_iso_3166_1,tree_exiohybrid4_reg,comment,prefixed_id,skos_uri
AF,WA,many-to-one correspondence,414b7a38-c0e1-49c6-9c05-7da86e2c72ef,http://www.w3.org/2004/02/skos/core#closeMatch
AX,WE,many-to-one correspondence,81d419d6-fcf3-4fb9-9b4d-3656fcc6c63d,http://www.w3.org/2004/02/skos/core#closeMatch
AL,WE,many-to-one correspondence,92afdf67-08ca-4fa7-a23c-bd974ae3b9d0,http://www.w3.org/2004/02/skos/core#closeMatch
DZ,WF,many-to-one correspondence,99137119-2aca-4735-a4dd-788ee131e0ed,http://www.w3.org/2004/02/skos/core#closeMatch
AS,WA,many-to-one correspondence,3f0b3d1f-bb3f-4db5-b771-75c4207a01a6,http://www.w3.org/2004/02/skos/core#closeMatch
AD,WE,many-to-one correspondence,4dcdf350-285f-472d-9433-ed406bc773fc,http://www.w3.org/2004/02/skos/core#closeMatch
AO,WF,many-to-one correspondence,ddb5f4ff-4fa4-4cfa-8286-99eb4bd3798b,http://www.w3.org/2004/02/skos/core#closeMatch
AI,WL,many-to-one correspondence,d630d117-c275-49b7-9c8b-8c65da224c1d,http://www.w3.org/2004/02/skos/core#closeMatch
AQ,WA,many-to-one correspondence,f6a018e7-7f02-4000-b278-67222fcae100,http://www.w3.org/2004/02/skos/core#closeMatch
AG,WL,many-to-one correspondence,f16b87c5-9c13-437c-97b2-a7843dd6c6fb,http://www.w3.org/2004/02/skos/core#closeMatch
AR,WL,many-to-one correspondence,7446f038-9757-4ab0-8541-d02369c67103,http://www.w3.org/2004/02/skos/core#closeMatch
AM,WA,many-to-one correspondence,9b835cb1-92f9-40d3-b181-7838f6a1cdde,http://www.w3.org/2004/02/skos/core#closeMatch
AW,WL,many-to-one correspondence,0aee0ef1-165b-40af-898f-f8d689e6aeef,http://www.w3.org/2004/02/skos/core#closeMatch
AU,AU,one-to-one correspondence,f8efa722-bc57-4412-ad25-e80074b99a9e,http://www.w3.org/2004/02/skos/core#exactMatch
AT,AT,one-to-one correspondence,f3d4d6d4-5615-49ec-bbd2-db7d4a8566e6,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,WA,many-to-one correspondence,7f9a1e2f-8afb-44ca-8a67-6270f27655e0,http://www.w3.org/2004/02/skos/core#closeMatch
BS,WL,many-to-one correspondence,5bd6b66f-1a18-4701-b73a-19799b60e2b5,http://www.w3.org/2004/02/skos/core#closeMatch
BH,WM,many-to-one correspondence,f55e1d19-146f-47bc-92c8-092fcd3d4a53,http://www.w3.org/2004/02/skos/core#closeMatch
BD,WA,many-to-one correspondence,93c43dee-1492-42c8-832a-64e57764bb1b,http://www.w3.org/2004/02/skos/core#closeMatch
BB,WL,many-to-one correspondence,e937250e-16ee-431e-818a-5c5fe774135a,http://www.w3.org/2004/02/skos/core#closeMatch
BY,WE,many-to-one correspondence,57fd72d1-9504-41de-aa58-9f7b7da39781,http://www.w3.org/2004/02/skos/core#closeMatch
BE,BE,one-to-one correspondence,9b56cc96-81ef-4eac-a291-355ac2f4a1c3,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,WL,many-to-one correspondence,96763a36-e447-4735-8d43-c287ac86788e,http://www.w3.org/2004/02/skos/core#closeMatch
BJ,WF,many-to-one correspondence,4b9673e8-259a-4425-88e9-dce31ac1709c,http://www.w3.org/2004/02/skos/core#closeMatch
