standard,t,s[t],Pb64_0,s[Pb64_0],mineral,reference
Plesovice,337.13,0.18,18.18037,0.0,zircon,Slama et al. (2008)
Qinghu,159.5,0.1,18.4593,0.0,zircon,Li et al. (2013)
Penglai,4.4,0.05,18.69665,0.0,zircon,Li et al. (2010)
Temora,416.75,0.12,18.05283,0.0,zircon,Black et al. (2003)
_91500,1066.01,0.305,16.95182,0.0,zircon,Wiedenbeck et al. (2004)
_44069,424.9,0.2,18.04099,0.0,monazite,Aleinikoff et al. (2006)
