standard,O17/O16,s[O17/O16],O18/O16,s[O18/O16],reference
NBS28,4.79,0.05,9.56,0.11, Tanaka and Nakamura (2013)
Plesovice,4.095,0.04,8.19,0.04, Avila et al. (2019)
Qinghu,2.7,0.1,5.4,0.1, Li et al. (2013)
Penglai,2.655,0.05,5.31,0.05, Li et al. (2010)
