standard,t,s[t],Pb84_0,s[Pb84_0],mineral,reference
Plesovice,337.13,0.18,38.0147,0.0,zircon,Slama et al. (2008)
Qinghu,159.5,0.1,38.34263,0.0,zircon,Li et al. (2013)
Penglai,4.4,0.05,38.62661,0.0,zircon,Li et al. (2010)
Temora,416.75,0.12,37.86677,0.0,zircon,Black et al. (2003)
_91500,1066.01,0.305,36.63848,0.0,zircon,Wiedenbeck et al. (2004)
_44069,424.9,0.2,37.8531,0.0,monazite,Aleinikoff et al. (2006)
