year;area;total_number_of_car;ev_penetration_rate;total_number_of_ev
2020;FR;38856492;0.05;1942825
2020;ES;25644595;0.05;1282230
2040;FR;33222300;0.5;16611150
2040;ES;21926128;0.5;10963064
