tree_bonsai,tree_hexio_v_3_3_18,comment,prefixed_id,skos_uri
C_FO_OTHE,C_COMF,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_INCF,C_INCF,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LANF,C_LANF,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_FOOD_w_water,C_WASF,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_MANC,C_MANC,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_TE_INCI,C_INCT,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_TE_LAND,C_LANT,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_WO_OTHE,C_COMW,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_INCW,C_INCW,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LANW,C_LANW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_WOOW,C_WOOW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_PA_OTHE,C_COMW,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_INCP,C_INCP,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LANP,C_LANP,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_PAPR,C_PAPR,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_INCL,C_INCL,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LANL,C_LANL,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_PLAW,C_PLAW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_GLAS_reuse,C_BOTW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_GLAW,C_GLAW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_GL_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_GL_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_ASHW,C_ASHW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_AS_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_ST_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_ST_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_STEW,C_STEW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_PM_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_PM_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_PREW,C_PREW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_ALUW,C_ALUW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_AL_LAND,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_AL_INCI,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LZT_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LZT_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_LZTW,C_LZTW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_COPW,C_COPW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_CU_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_CU_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_ONF_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_ONF_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_ONFW,C_ONFW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_CONW,C_CONW,one-to-one correspondence,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
C_CO_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_CO_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_HA_INCI,C_INCO,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_HA_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_SE_biog,C_BIOS,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_SE_INCI,C_INCM,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_SE_LAND,C_LANI,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_SE_wwater,C_WASO,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Almod,C_OFOD,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Anim_ofat,C_POME,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Appls,C_FVEG,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Apris,C_FVEG,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Aspas,C_FVEG,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Barly,C_OCER,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Barld,C_OFOD,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Barlt,C_OFOD,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Beann,C_FVEG,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Beer_barl,C_BEVR,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Berrs,C_FVEG,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Bev_dstl,C_BEVR,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Bran_ bar,C_OFOD,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
C_Bran_ cer,C_OFOD,many-to-one correspondence,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#closeMatch
