real_gdp;GDD_Agr_R;GDD_Min_R;GDD_Man_R;GDD_Elc_R;GDD_Con_R;GDD_Trd_R;GDD_Trn_R;GDD_Inf_R;GDD_Est_R;GDD_R;Rincpop_q;Rexppop_q;Rwage_q;imp;exp;usdkzt;eurkzt;rurkzt;poil;GDP_DEF;cpi;realest_resed_prim;realest_resed_sec;realest_comm;index_stock_weighted;ntrade_Agr;ntrade_Min;ntrade_Man;ntrade_Elc;ntrade_Con;ntrade_Trd;ntrade_Trn;ntrade_Inf;fed_fund_rate;govsec_rate_kzt_3m;govsec_rate_kzt_1y;govsec_rate_kzt_7y;govsec_rate_kzt_10y;tonia_rate;rate_kzt_mort_0y_1y;rate_kzt_mort_1y_iy;rate_kzt_corp_0y_1y;rate_usd_corp_0y_1y;rate_kzt_corp_1y_iy;rate_usd_corp_1y_iy;rate_kzt_indv_0y_1y;rate_kzt_indv_1y_iy;realest_resed_prim_rus;realest_resed_sec_rus;cred_portfolio;coef_k1;coef_k3;provisions;percent_margin;com_inc;com_exp;oper_inc;oth_inc;DR
2434.87;137.05;403.17;244.94;42.98;274.23;287.8;210.85;94;222.07;2320.83;22.May;38.73;44.46;5677.66;15106.74;147.7;204.9;04.Sep;76.7;165.14;153.89;101.3;100.4;100.6;106.9;100.48;101.79;104.75;101.99;97.61;102.66;101.16;101.38;0.1;01.May;03.Jan;07.Aug;07.Jul;0.1;10.Jul;11.Mar;14.Sep;11;14.May;12.Sep;30.Mar;21.May;100.6;101;193;0.31;0.03;83.91;0.06;1125517.36;175988.45;3211104.05;411132.7;0.02
2506.41;139.71;406.13;273.02;42.81;273.91;309.78;206.07;97.47;198.56;2374.01;24.35;38.66;49.16;7909.35;15464.31;146.8;187;04.Sep;78.7;187.17;156.81;99.8;100.2;100.8;74.6;100.84;101.4;105.3;101.85;100.36;103.4;101.74;102.25;0.2;01.May;02.Jun;07.Mar;07.Mar;0.2;11.Feb;11.Apr;14.Feb;11;13.Apr;12.Mar;25.May;21.Mar;99.5;100.3;183.28;0.32;0.06;74.55;0.06;1509069.76;191369.75;3776480.95;369998.2;0.02
2512.35;116.66;349.49;242.07;43.25;284.95;319.6;247.89;86.57;205.5;2270.61;25.86;46.43;51.06;9278.88;15264.8;147.4;190.2;04.Aug;76.4;215.86;157.91;100.2;101.1;100.7;108.9;95.91;100.41;102.71;101.17;101.91;103.03;101.91;102.93;0.2;01.Feb;02.Apr;07.Aug;06.Aug;0.3;12.Aug;11.Jan;13.Aug;10.Jun;13.Feb;12;24.Jul;20.Sep;100;100.4;243.65;0.43;0.25;86.63;0.06;1811025.26;219077.65;3417365.05;361438;0.02
2816.44;125.15;456.92;279.42;44.07;287.03;349.4;305.44;143.68;247.47;2687.75;26.31;47.83;52.19;10025.61;16848.24;147.5;200.6;04.Aug;86.8;272.69;161.23;101.5;101.9;99.9;111.8;90.95;103.31;100.25;99.7;102.55;103.75;102.37;102.59;0.2;0.9;02.Apr;08.Sep;07.Sep;0.3;11.Mar;10.May;13.May;09.Sep;11.Jun;09.May;28.Feb;20.Mar;100.2;100.9;232.46;0.33;0.04;80.06;0.06;2059290.86;178291.85;3913204.35;390177.7;0.02
2582.03;135.44;410.57;259.91;44.36;274.7;319.66;219.05;108.54;217.48;2462.65;24.92;47.02;48.5;7305.4;24661.08;146.4;199.9;5;104.9;202.95;167.03;104.3;103.4;100.1;101.2;99.69;100.46;101.44;100.8;100.04;102.52;100.85;103.45;0.2;0.9;01.Jul;08.Sep;08.Sep;0.2;13.Apr;11.Jan;12.Sep;10.Apr;11.Apr;06.Mar;28.Apr;22.Aug;101.5;101.3;234.03;0.32;0.04;78.81;0.06;1784063.16;239975.45;4062113.55;411328.5;0.03
2714.74;137.26;408.07;287.18;44.68;266.97;344.13;211.99;106.74;195.75;2583.86;25.62;48.13;50.12;11144.23;22028.15;145.6;209.6;05.Feb;117.1;221.01;170.04;100.9;101.6;100;89.7;99.53;100.12;101.34;101.07;99.38;102.65;100.61;102.13;0.1;0.8;01.Aug;08.Apr;08.Apr;0.2;13.Jan;11.Aug;12.Jun;09.Jul;11.Apr;10;24.May;22.Feb;101.6;101.1;239.85;0.34;0.04;78.75;0.06;3208277.16;303592.85;4482621.55;464637.8;0.03
2689.93;150.88;332.13;260.11;45.76;291.35;359.36;256.95;101.37;203.73;2416.47;27.55;52.33;53.91;10379.15;20755.2;146.6;207.4;05.Jan;112.5;276.03;171.91;101;101.8;100.4;72.9;106.65;98.93;101.69;101.42;100.57;102.98;100.92;103.32;0.1;01.Feb;01.Aug;09.Feb;09.Feb;0.5;10.Jun;11.Aug;11.Sep;9;11.Feb;07.Aug;22;22.Feb;101.7;101;258.85;0.33;0.04;89.65;0.06;5072943.26;291576.45;4935996.45;439672.2;0.03
3019.66;213.86;434.92;278.59;48.23;285.91;379.91;313.27;178.77;282;2913.41;29.44;54.82;57.96;11521.05;21618.37;147.9;199.6;04.Jul;109.3;317.19;173.63;101.2;102.1;96.7;98.3;116.17;98.63;99.92;102.32;99.9;102.22;100.79;107.62;0.1;1;01.Sep;04.Feb;04.Sep;0.8;11.Jun;11.Mar;11.Mar;08.Jan;10.Apr;06.May;21.May;22.Jul;101.8;102.4;274.81;0.29;0.04;95.32;0.06;7161793.76;1595814.55;4143869.95;471466.6;0.03
2763.21;128.17;407.47;281.97;47.51;271.8;362.09;233.56;123.17;220.6;2585.64;27.61;52.9;54.14;9171.47;22977.35;148.1;194.1;04.Sep;118.6;220.68;175.54;102.5;100.9;102.1;112.7;98.86;99.8;102.03;101.72;99.74;103.02;101.45;102.95;0.1;1;02.Mar;04.Apr;04.Aug;0.1;11.May;12.Jan;11.Apr;07.Mar;11;09.May;22.Jan;23.Jun;103.3;103.2;278.55;0.3;0.04;93.95;0.06;8180743.56;494057.85;4897327.05;467215.1;0.03
2886.14;127.22;404.17;297.24;46.89;270.6;393.83;226.47;117.92;213.35;2713.89;28.May;50.67;56.33;10940.57;20987.9;148.2;190.2;04.Aug;108.9;233.92;178.34;104.1;105;103.9;78.1;98.41;99.75;100.91;101.18;100.33;103.44;101.43;102.19;0.2;01.Apr;01.Jul;5;5;0.6;12.Jul;12.Apr;11.Mar;06.Aug;11.Feb;10;21.Feb;22.Sep;103.1;102.8;288.36;0.27;0.05;109.6;0.05;9804025.66;501211.15;5441141.75;473144.1;0.03
